,word,slice,cluster,distance,sense
0,pink,c1_en_gay_colors,miss;man;woman;bluish;blue;jolly;gay;fille;blueish;festive;homo;racy;pinkish;queer;cheery;grim;juicy;gentle;gloomy;gentleman,0.08814153251781445;0.10104895078984569;0.10822359702918546;0.12519352495049435;0.12642092398406646;0.14889838949117523;0.15515328115725446;0.15795438651791027;0.1663399450966002;0.17584853389416824;0.17590471993268403;0.2204254523918887;0.2321275608992438;0.24890928617484553;0.26975064156431483;0.27396718558156874;0.2789134350799336;0.28455333947204076;0.2883214699450036;0.3110481395512279,1
1,pink,c2_en_gay_colors,man;juicy;gentle;girl;fille;woman;bluish;girlfriend;blue;homo;risque;queer;miss;pinkish;cheery;blueness;gay;festive;merry;homosexual,0.11422129407098211;0.11522805533604721;0.11996388730282585;0.12372966012965957;0.1253804403750109;0.12989176162227545;0.13355667469537968;0.14813209734711594;0.15628831863189896;0.1643303364544412;0.20354016253259066;0.21519483898009656;0.2670154562802056;0.2676161151321138;0.2708608183747856;0.2750080319819973;0.2787644514731557;0.2796989694664565;0.3009023927685728;0.30486025078729045,1
2,man,c1_en_gay_colors,pink;woman;miss;blue;bluish;festive;fille;jolly;gay;blueish;homo;pinkish;racy;queer;cheery;juicy;grim;gloomy;gentle;gentleman,0.10104895078984569;0.11980609498762848;0.1404403823010702;0.15292923301361344;0.15807877112820296;0.1687702721343763;0.1846003233222292;0.18851942452117038;0.18907207255445724;0.20603629495114262;0.23185684297398781;0.2656486491129424;0.26816242743128316;0.28356496419777033;0.3023372829023477;0.3148236729175551;0.31635993001691554;0.32978773296478436;0.3307068512707094;0.33947141219202126,1
3,man,c2_en_gay_colors,blue;pink;homo;woman;juicy;girl;bluish;risque;gentle;fille;miss;girlfriend;queer;blueness;pinkish;festive;cheery;gay;homosexual;merry,0.09811766599401998;0.11422129407098211;0.11663609735842359;0.12797696719159557;0.16426074927827986;0.16681021775730182;0.1693989439760722;0.17323407073854497;0.19567903846230672;0.19728165905447298;0.19867673375604994;0.22182655954141753;0.2895955400357102;0.34569615774671547;0.3549602635224195;0.3553503898535078;0.3553785939924031;0.35669968049478484;0.3780748277925643;0.3791518412617733,1
4,woman,c1_en_gay_colors,miss;blue;fille;pink;man;bluish;jolly;blueish;gay;festive;homo;pinkish;queer;racy;cheery;juicy;grim;gentle;gloomy;gentleman,0.09247161028421659;0.1016589264084664;0.10544059968863925;0.10822359702918546;0.11980609498762848;0.12524706512825431;0.13541573734740578;0.13921576146094622;0.14819460769649592;0.1544062040872329;0.17132407781173287;0.1894181928461574;0.20776911399540673;0.2136056619056038;0.23017136068907962;0.23862923075891265;0.24189196487714107;0.24810833850157607;0.2560001410693078;0.25724101713664516,1
5,woman,c2_en_gay_colors,blue;man;pink;homo;girl;bluish;gentle;juicy;fille;girlfriend;risque;miss;queer;blueness;cheery;pinkish;gay;festive;merry;homosexual,0.121832753715959;0.12797696719159557;0.12989176162227545;0.14425218762092656;0.1451946805439847;0.16199471194219484;0.1621849508810558;0.16260120015067564;0.18832207432084636;0.19377417149128953;0.23336250645904083;0.2529907671511564;0.27126824810208483;0.31553854077841037;0.32819183793617446;0.3311310781524906;0.33863251361617597;0.3424892994274466;0.3538403442459339;0.370380077240043,1
6,gay,c1_en_gay_colors,bluish;homo;blue;fille;miss;blueish;jolly;woman;pink;pinkish;racy;man;juicy;queer;grim;cheery;gentleman;gloomy;festive;gentle,0.10343517898096864;0.12127476452587901;0.12636413890383372;0.1289681476288631;0.13020703793639168;0.13483330983338734;0.13901877017633518;0.14819460769649592;0.15515328115725446;0.15612669816861552;0.16777765462757122;0.18907207255445724;0.1910611659065277;0.2020474126863217;0.20684766257666856;0.21312966900829158;0.2187113752879669;0.22069736319887562;0.22626836188040525;0.22646377897763165,1
7,gay,c2_en_gay_colors,homosexual;pinkish;merry;festive;jolly;queer;grim;cheery;aristocratic;gentleman;gloomy;blueness;racy;womanhood;girlfriend;fille;gentle;bluish;festal;juicy,0.0751117282567674;0.08475215032376586;0.10375074358550307;0.10442123917406823;0.11627553549624288;0.11629135665862148;0.1204612650108177;0.12205340535001594;0.13686402831081065;0.1407632944101353;0.14151205328501762;0.14632949318183816;0.15453176770097365;0.15890242192108422;0.18545802509955467;0.18588646507608556;0.20206337132791896;0.21921940126291406;0.22839290350627117;0.24723483597093363,1
8,homosexual,c2_en_gay_colors,gay;pinkish;merry;grim;festive;queer;jolly;cheery;gentleman;gloomy;aristocratic;racy;blueness;womanhood;festal;girlfriend;fille;gentle;bluish;juicy,0.0751117282567674;0.09657781019692888;0.11191438191902606;0.11569466356074079;0.12137828643547749;0.1215872988595948;0.1286211562746759;0.13306696918698432;0.1441695676482296;0.14543177282697212;0.14875942396914382;0.15435762582213416;0.1552260776667632;0.1593559616746161;0.20146308680765912;0.2097975555874053;0.22307159662220055;0.22444410476176319;0.241397934577132;0.2515375110518411,1
9,girl,c1_en_gay_colors,blueness;gentle;gloomy;gentleman;grim;merry;juicy;braw;pinkish;queer;cheery;womanhood;racy;blueish;fille;festal;aristocratical;homo;aristocratic;bluish,0.10101409807248293;0.10618860871909418;0.10810919001414723;0.11807229582094228;0.11972111389574536;0.12596208236694395;0.12778869214768435;0.13032030096170902;0.13463744923986565;0.1372122424581903;0.14272022551449487;0.15743725677020837;0.19669989404549926;0.19933025369391544;0.20838997950825922;0.2161015931754566;0.2294368358634528;0.2405893508063553;0.2615576760993765;0.26578321162135876,1
10,girl,c2_en_gay_colors,pink;gentle;juicy;woman;girlfriend;bluish;blue;fille;man;homo;queer;risque;miss;blueness;cheery;pinkish;gay;festive;merry;homosexual,0.12372966012965957;0.13733313872216962;0.13964749079847644;0.1451946805439847;0.1452411626863369;0.149118740269235;0.15827563075921086;0.16555886491551025;0.16681021775730182;0.19914519281155676;0.22772422684890145;0.2355148361360385;0.27138055749674095;0.2825590246284264;0.291736966772684;0.2954165113163373;0.2961010881360074;0.29936846555453167;0.32630275481642446;0.3271282591043321,1
11,jolly,c1_en_gay_colors,bluish;blueish;fille;miss;woman;gay;pink;blue;festive;queer;pinkish;racy;homo;man;cheery;juicy;gloomy;gentle;grim;gentleman,0.09973427291455086;0.11927462576810921;0.11976009267285315;0.12544691148408083;0.13541573734740578;0.13901877017633518;0.14889838949117523;0.15185083512915307;0.16856861816874397;0.17071901762392397;0.1741437669309867;0.1775391018842738;0.17945750196183066;0.18851942452117038;0.2055614929728715;0.2069474808619513;0.21216762850296336;0.21319626020461627;0.22544337167831477;0.23685066213268635,1
12,jolly,c2_en_gay_colors,aristocratic;merry;pinkish;cheery;womanhood;grim;festive;gloomy;blueness;gentleman;gay;homosexual;racy;queer;festal;girlfriend;gentle;fille;bluish;juicy,0.07758926268919206;0.07779152036043047;0.0885433529134995;0.09030061762799345;0.09334182598589316;0.097072466092262;0.09876743848629607;0.10838447394174515;0.11340907510990887;0.11506896227850444;0.11627553549624288;0.1286211562746759;0.15379560704362438;0.1566617780432961;0.19255355384666498;0.23265495276670395;0.237389331285764;0.2617260631353325;0.273022804161883;0.2967746675227925,1
13,homo,c1_en_gay_colors,gay;bluish;blueish;miss;fille;racy;blue;pinkish;woman;juicy;pink;jolly;grim;queer;gloomy;cheery;gentle;gentleman;man;festive,0.12127476452587901;0.1249657583127072;0.12499550889818554;0.13099944095544463;0.13911690927974069;0.14180838421695321;0.14694519729770672;0.14929359904150896;0.17132407781173287;0.17290500044813023;0.17590471993268403;0.17945750196183066;0.18039592310621322;0.1844918247734314;0.19905273522514735;0.21227038610959453;0.21766673684032894;0.2215334393185917;0.23185684297398781;0.23658727740742824,1
14,homo,c2_en_gay_colors,blue;man;woman;risque;miss;pink;juicy;girl;gentle;bluish;fille;girlfriend;queer;blueness;cheery;festive;pinkish;gay;merry;homosexual,0.11566092456147738;0.11663609735842359;0.14425218762092656;0.14728139712921504;0.16292822952285263;0.1643303364544412;0.17889342497316357;0.19914519281155676;0.22389152413719213;0.22547466324370688;0.2279242339306321;0.264256186877902;0.3194019748674085;0.38167074597731726;0.3822567806637384;0.38616794419067474;0.3940327686674818;0.4018603492707677;0.4025440526796351;0.40788288506701076,1
